Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
4651,J Head Spur Qadirabad ,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Post Flood,No damages occurred in flood season 2024,-,,Satisfactory,Civil,31.54204,74.20495,Post Flood 2024
4652,Chung J Head Spur at RD 00 to 5+720,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Post Flood,No damages occurred in flood season 2024,-,,Satisfactory,Civil,31.45162,74.16902,Post Flood 2024
4653,Shahdara Flood Protection Bund RD 0-15+750 ,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Heavy encroachment on both sides of the bund.
• Existing Mile gauges need painting.
• Carpeted road exists at top of the bund.
• Side slopes seems to be deficient.
• Weed and sarkanda growth was found on slopes.
• RD marks were missing.","• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.
• Critical encroachments present on Shahdra flood protection bund and Mehmood Booti section should be removed.",,Satisfactory,Civil,31.628496,74.311873,Pre Flood 2024
4654,T head spur No. 1 of Shahdara Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,• Overall intact.,• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.60925,74.31012,Pre Flood 2024
4655,T Head Spur No. 2 at RD 4+300 of Shahdara Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Pacca Road on the top of surface.
• Huge vegetation and trees on the slopes of the spur.
• Over all intact.",,,Satisfactory,Civil,31.62447,74.30755,Pre Flood 2024
4656,T Head Spur No. 3 at RD 6+300 of Shahdara Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"•	Disturbed top surface and side slopes.
• Disturbed nose portion.
• Rain cuts and gharas.
• Vegetation and bushes on side slopes.",• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.62755,74.31331,Pre Flood 2024
4657,T Head Spur No. 4 at RD 7+400 of Shahdara Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,• WASA disposal pipe is placed on T Head spur at RD 7+400 damaging the structure which must be relocated to ensure safety of armored potion.,• WASA disposal pipe should be removed from the T Head Spur No. 4 at RD 7+400 of Shahdara Flood Protection Bund.,,Satisfactory,Civil,31.63152,74.31402,Pre Flood 2024
4658,Hocky Spur No. 5 at RD 9+500 of Shahdara Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Estimate submitted to maintain the spur.
• Huge bushes at the end of the spur.
• Overall satisfactory. ",• Repair works like gharas and weeds growth should be completed.,,Satisfactory,Civil,31.63725,74.31145,Pre Flood 2024
4659,Mahmood Booti Bund RD 0-29+000,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,• Converted into Lahore Ring Road.,Intact,,Satisfactory,Civil,31.609287,74.331106,Pre Flood 2024
4660,J Head spur at RD 5+060 of Sharkpur Flood Protection Bund ,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Porcupine hole found at the top of spur. 
• Disturbed side slopes.
• Vegetation on both sides of the spur.
• Disturbed reserve stock of stones. ",• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.47955,74.13669,Pre Flood 2024
4661,T Head Spur no 2 at RD 11+080 of Sharkpur Flood Protection Bund ,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Intact.
• Huge vegetation on the slope surfaces.",• Repair works like gharas and weeds growth should be completed.,,Satisfactory,Civil,31.46753,74.12709,Pre Flood 2024
4662,Earthen Spur at RD 16+510 of Sharkpur Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Total length of spur was 4800ft but after 1988 flood 1800ft length of spur washed away. 
• The existing length of spur is 3000ft.
• Very large trees and sarkhanda growth on the embankments.",• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.45371,74.12453,Pre Flood 2024
4663,T Head Spur at RD 26+860 of Sharkpur Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Intact 
• Vegetation on the side slopes.",• Repair works like gharas and weeds growth should be completed.,,Satisfactory,Civil,31.42474,74.11815,Pre Flood 2024
4664,J Head Spur no 5 at RD 30+510 of Sharkpur Flood Protection Bund,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,• Pacca Road on the top of the embankment.,Intact,,Satisfactory,Civil,31.419292,74.104389,Pre Flood 2024
4665,J Head Spur Qadirabad ,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"• Big rain cuts and gharas on top of the spur.
• Disturbed top surface.
• Vegetation and bushes on the side slopes.",• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.54204,74.20495,Pre Flood 2024
4666,Chung J Head Spur at RD 00 to 5+720,Lahore Drainage Division,Drainage Circle Lahore,Lahore,2024,Pre Flood,"•	Vegetation on the side slopes. 
• Rain cuts and gharas along the spur.
• Pitching disturbed at the nose portion.
• Over all structure satisfactory. ",• Repair works like rain cuts gharas unpainted data boards missing RD marks & mile gauges deficient side slopes removal of unauthorized ramps and weeds growth should be completed.,,Satisfactory,Civil,31.45162,74.16902,Pre Flood 2024
4667,Shahdra Disty Flood Bund at River Ravi (Reach RD from 0+000 to 65+000),Shahdara Canal Division,UCC Circle,Lahore,2024,Post Flood,No damages occurred in flood season 2024,Weed growth and bushes should be removed from top and side slopes,,Satisfactory,Civil,31.66996,74.32002,Post Flood 2024
4668,J-Head Spur on Shahdra Disty Flood Bund at RD 39+000/L,Shahdara Canal Division,UCC Circle,Lahore,2024,Post Flood,No damages occurred in flood season 2024,Weed growth and bushes should be removed from top and side slopes,,Satisfactory,Civil,31.68765,74.3719,Post Flood 2024
4669,Shahdra Disty Flood Bund at River Ravi (Reach RD from 0+000 to 65+000),Shahdara Canal Division,UCC Circle,Lahore,2024,Pre Flood,"• M&R works undergoing at Shahdra Disty Flood Protection Bund and the details are as under: - 
? 0+00 to 20+000 =90% earth work completed.
? 20+000 to 33+000=60% earth work completed.
? 33+000 to 53+000 =50% earth work completed.
? 53+000 to 65+000=60% earth work completed.
• The factory has encroached the area of bund between RD 63+000 and RD 64+000.
• Total earth work quantity estimated = 2 crore 30 lac.   ",Work should be completed before the start of Flood season 2024,,Satisfactory,Civil,31.66996,74.32002,Pre Flood 2024
4670,J-Head Spur on Shahdra Disty Flood Bund at RD 39+000/L,Shahdara Canal Division,UCC Circle,Lahore,2024,Pre Flood,"• Overall condition was satisfactory and vegetation   observed on the nose portion. 
• Between RD= 31+000 to 48+000 RUDA was working for construction of road.","• Vegetation on flood protection embankments / training works should be removed.
• Repair works like unpainted data boards missing RD marks & mile gauges and weeds growth should be completed for all above mentioned structures.",,Satisfactory,Civil,31.68765,74.3719,Pre Flood 2024
4671,Left Divide Wall,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Massive silt deposition alongside wall and broken gauge observed at right side of divide wall. Sealant material found missing.,Remedial measures should be taken to remove the silt deposition and restore gaguge,,Fair,Civil,32.669992,74.46688,Closure 2023-2024
4672,Right Divide Wall,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Massive silt deposition alongside wall,Remedial measures should be taken to remove the silt deposition.,,Fair,Civil,32.677045,74.461347,Closure 2023-2024
4673,U/S of Barrage,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Concrete floor not visible due to still water,-,,Fair,Civil,32.671703,74.465369,Closure 2023-2024
4674,D/S of Barrage Bay 33,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Concrete floor not visible due to still water,-,,Fair,Civil,32.672984,74.464354,Closure 2023-2024
4675,Fish Ladder,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Cracks obserbed on the wall and disturbed stairs observed at D/S of barrage,Cracks should be restored and expasnion should be monitored,,Satisfactory,Civil,32.670223,74.46712,Closure 2023-2024
4676,MR Link Canal,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Stone pitching and apron observed disturbed along right and left sides of MR link canal on D/S side. Sealant material found missing on the joints of deck. Minor crack formation observed along the right wing wall of MR Link Canal, Stone pitching and apron  of MR link canal should be recouped. Sealant material should be filled properly. Cracks should be revamped properly.,,Fair,Civil,32.668479,74.4699,Closure 2023-2024
4677,Left Abutment of UCC Canal,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Cracks alongsie stairs on abutment wall,Cracks should be restored,,Satisfactory,Civil,32.66812,74.469259,Closure 2023-2024
4678,Right Abutment of UCC Canal,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Cracks alongsie stairs on abutment wall,Cracks should be restored,,Satisfactory,Civil,32.667865,74.468782,Closure 2023-2024
4679,RGB of Barrage,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Intact,-,,Satisfactory,Civil,32.680282,74.462976,Closure 2023-2024
4680,RMB of Barrage,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Intact,-,,Satisfactory,Civil,32.683479,74.460631,Closure 2023-2024
4681,LGB of Barrage ,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Intact,-,,Satisfactory,Civil,32.671459,74.476081,Closure 2023-2024
4682,LMB of Barrage,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Intact,-,,Satisfactory,Civil,32.670062,74.487214,Closure 2023-2024
4683,Spur T2,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Munawar Tawi river developed a loop in between T2 spur and M1 spur,Apron should be maintained as per design level to avoid any damage to structure,,Satisfactory,Civil,32.693484,74.473012,Closure 2023-2024
4684,M1 Mole Spur,Marala Barrage Division,UCC Circle,Lahore,2023-2024,Closure,Damaged apron observed along nose,Stone pitching and apron of M-1 U/S of RGB should be recouped. ,,Satisfactory,Civil,32.694895,74.473145,Closure 2023-2024
4685,Diversion Bund opposite RD 288+500 upstream Ravi Syphon,Chakbandi Division,Link Circle,Lahore,2023,Post Flood,20 ft width and 80ft length of apron launched along the nose portion of diversion bund. ,Launched apron along the nose of Diversion bund should be rehabilitated before the next flood season to avoid any serious damages.,,Poor,Civil,31.704106,74.491434,Post Flood 2023
4686,Mole Head Extension Bund at RD 150 of Diversion Bund at Ravi post,Chakbandi Division,Link Circle,Lahore,2023,Post Flood,The 20 ft (width) of launched apron was observed along the 50ft length of Mole Head Spur.,Launched apron along the nose of Diversion bund should be rehabilitated before the next flood season to avoid any serious damages.,,Poor,Civil,31.704998,74.498364,Post Flood 2023
4687,J Head Spur at RD 215+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"River developed a loop at U/s side of Spur which may cause damage the Spur as well as agricultural lands.  
Reserve stock of stone was found buried and in un-measurable shape.
Top of the bund was uneven throughout the length.
Rain cuts and gharas were observed on top and slopes.
Heavy sarkanda growth was observed at side slopes.",Erosive action u/s side of J-Head spur RD 215+000 should be thoroughly examined by the expert committee for the safety of structure.,,Satisfactory,Civil,31.877094,74.569996,Pre Flood 2023
4688,J Head Spur at RD 224+500,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Top of the bund was uneven throughout the length.
Reserve stock of stone was found buried and in un-measurable shape.
Sides slopes was not maintained.
Rain cuts and gharas were observed on top and slopes.
Heavy sarkanda growth was observed at side slopes.","Reserve stock of stone should be procured as per sanctioned limit.
Restacking of stone should be done before onset of flood season.
Any Porcupine hole present in bund/spur should be removed. 
Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.851172,74.562089,Pre Flood 2023
4689,Mole Head Spur at RD 232+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Top of the bund was uneven.
Rain cuts and gharas were observed on top and slopes.
Heavy sarkanda growth was observed at side slopes.","Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.851482,74.52799,Pre Flood 2023
4690,Mole Head Spur at RD 241+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,Intact,Structure should be maintained properly,,Satisfactory,Civil,31.830795,74.51272,Pre Flood 2023
4691,J Head Spur at RD 250+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Top of the bund was uneven.
Rain cuts and gharas were observed on top and slopes.
Side slopes had heavy sarkanda growth.","Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.809511,74.498196,Pre Flood 2023
4692,J Head Spur at RD 259+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Reserve stock of stone was found buried and in un-measurable shape.
Stone pitching was disturbed at nose.
Side slopes was not maintained.
Top of the bund was uneven.
Rain cuts and gharas were observed on top and slopes.
Heavy sarkanda growth was observed at side slopes.","Reserve stock of stone should be procured as per sanctioned limit.
Restacking of stone should be done before onset of flood season.
Any Porcupine hole present in bund/spur should be removed. 
Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.769558,74.479799,Pre Flood 2023
4693,RGB of Ravi Syphon RD 283+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"The top surface was uneven.
Side slopes were observed with heavy sarkanda growth.
Sides slopes were not maintained.
Reserve stock of stone was found buried and in un-measurable shape.
Rain cuts/gharas on the top of Bund were observed.
RD marks were missing.","Reserve stock of stone should be procured as per sanctioned limit.
Restacking of stone should be done before onset of flood season.
Any Porcupine hole present in bund/spur should be removed. 
Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.722341,74.470471,Pre Flood 2023
4694,LGB of Ravi Syphon RD 283+000,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Reserve stock of stone was buried and in un-measurable shape.
Heavy sarkanda growth was observed at side slopes.
Ramps was observed at different locations.","Reserve stock of stone should be procured as per sanctioned limit.
Restacking of stone should be done before onset of flood season.
Any Porcupine hole present in bund/spur should be removed. 
Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.715845,74.475893,Pre Flood 2023
4695,Escape Bund RD 279+500/R,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,Severe erosion observed at tail of left bank of Escape RD 279+500/R of BRBD Link Canal,Left bank of Escape Channel at RD 279+500/R of BRBD Link Canal was repaired as per design parameters.,,Poor,Civil,31.726271,74.46219,Pre Flood 2023
4696,J-Head Spur RD 288+500/L,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Reserve stock of stone was found buried and in un-measurable shape.
Side slopes were observed heavy sarkanda growth.","Reserve stock of stone should be procured as per sanctioned limit.
Restacking of stone should be done before onset of flood season.
Any Porcupine hole present in bund/spur should be removed. 
Rain cuts and gharas on all the Bunds/river training works should be removed before flood season 2023.
RD marks Data boards and gauges should be painted.",,Satisfactory,Civil,31.707809,74.471931,Pre Flood 2023
4697,Guide Wall Spur at RD 1400 of J Head Spur RD 288+500/L,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"River is flowing around the spur and Apron was not fully visible therefore sounding should be done by the concerned division to check the design parameters.
Small rain cuts on slopes and top throughout the length.
Deficient slopes were observed at various points.
River side slope was deficient.",The Sounding of Guide wall Spur at RD:1400 of J Head Spur R.D:288+500/L should be done and check the designs parameters.,,Satisfactory,Civil,31.707238,74.474994,Pre Flood 2023
4698,Mole Head Diversion Bund opposite RD 288+500 upstream Ravi Syphon,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"Serious erosive action was observed.
Slope was damaged at nose portion due to direct hit of water.
Data board was missing.
Top of the bund was covered with buried reserve stones and in un-measurable shape.",Side slope of Mole Head Diversion Bund Opposite Rd 288+500 u/s Ravi Syphon should be repaired.,,Fair,Civil,31.703988,74.491445,Pre Flood 2023
4699,Mole Head Extension Bund at RD 150 of Diversion Bund at Ravi post,Chakbandi Division,Link Circle,Lahore,2023,Pre Flood,"River was approaching towards the bund near the Ravi post therefore a proposal of studs submitted by the concerned division to divert the river flow.
Side slopes were short.
Weed growth on slopes",Erosive action along river side of Mole Head Extension and Diversion Bund at RD 288+500 upstream of Ravi Siphon should be thoroughly examined by the expert committee for the safety of structures.,,Fair,Civil,31.704998,74.498364,Pre Flood 2023
4700,Concave-Convex Guide Wall Kund Reham Shah,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Post Flood,As checked by sounding & probing the 8ft width apron launched along the 150ft length of stud of guide wall. Further along the guide wall 6ft width of apron launched/short.,Apron should be rehabilitated as per design parameters of Concave Convex Guide wall spur. ,,Fair,Civil,31.130065,73.550763,Post Flood 2023
4701,J-Head Spur Kund Qasim,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Post Flood,The creek intact with the spur. The spur towards river side is earthen and no apron is available in 1700ft length therefore seepage may occur due to creek. ,The earthen portion of J-Head spur Kund Qasim ahead of stud RD 2+100 towards river side should be pitched to avoid serious damages due to creek.,,Fair,Civil,31.136069,73.557709,Post Flood 2023
4702,Madho Das Bund RD 0 – 51+180,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Post Flood,M&R works under execution on Madho Das bund. ,Work should be completed before the start of Flood season 2024,,Satisfactory,Civil,31.305099,73.893119,Post Flood 2023
4703,Maddodass Bund RD 0-51+180,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o There were many Big Gharas found between RD 39+000 to 47+000. This reach was in poor condition.
o No RD marks were present throughout the length.
o Due to rehabilitation work of bund the wetting channel demolished and not restored after rehabilitation work completed.
o Breaching section exists at RD 48-49 but it was operated by Balloki Headworks division.
o The breaching section was not properly maintained. Liners were not marked and mostly choked. Liner caps were missing. 
o Top surface was uneven and bumpy.
o Rain cuts & gharas developed on the Slopes and top of bund.
o Bund was encroached in the form of animal yard at RD 41",The reach from RD 39-47 was in poor condition of Maddodas bund. Big Gharas should be filled with suitable material.,,Satisfactory,Civil,31.305099,73.893119,Pre Flood 2023
4704,J-Head spur Nawan Kot near Mandi Faizabad,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o Side Slopes were deficient.
o Top uneven surface was uneven.
o Reserve stock of stone was scattered.
o Sarkanda growth was found.
o Gharas were found at top surface.","Reserve stock of stone should be procured as per sectioned limit.
Restacking of stone should be done before onset of flood season. Rain cuts gharas deficient side slopes removal of unauthorized ramps repainting of RD marks mile gauges and data boards should be completed wherever is necessary.",,Satisfactory,Civil,31.37023,74.02207,Pre Flood 2023
4705,J-head spur near village Kund Qasim,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o Jungle and weed growth were found on slopes.
o Top surface was uneven & bumpy.  ",Rain cuts gharas deficient side slopes removal of unauthorized ramps repainting of RD marks mile gauges and data boards should be completed wherever is necessary.,,Satisfactory,Civil,31.136069,73.557709,Pre Flood 2023
4706,J-Head spur at Faridabad village,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o Side Slopes were deficient.
o Minor rain cuts/gharas were found.",Rain cuts gharas deficient side slopes removal of unauthorized ramps repainting of RD marks mile gauges and data boards should be completed wherever is necessary.,,Satisfactory,Civil,31.14681,73.55827,Pre Flood 2023
4707,Concavo Convex guide wall spur near village Kund Reham shah,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o Apron at nose portion damaged (7-15 ft) as river creek directly hitting the nose continuously. 
o Stone pitching was damaged at side slope.    
o Slope of country side encroached by a school building.
o Rain Cuts on side slopes.
o Data board & RD Marks were missing.",The Apron of Concavo-convex Guide Wall Spur should be restored before onset of flood season 2023.,,Fair,Civil,31.130065,73.550763,Pre Flood 2023
4708,J-Head spur opposite SyedwalaTown,Shiekhupura Division UCC,UCC Circle,Lahore,2023,Pre Flood,"o Newly constructed spur by the Highway department.
o Water creek directly hitting the spur at nose.",It should be properly maintained,,Satisfactory,Civil,31.12713,73.50476,Pre Flood 2023
4709,Spur at RD 11+700 RMB U/S super passage (RD 220+122),Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,The nose portion of spur at RD 11+700 U/S super passage (Noor pur syhon) washed away completely. Further 10ft straight length of spur damaged (Total Length Damaged = 40 ft).,Spurs at RD 11+700 RMB U/S super passage require immediate attention as it is critically damaged by the torrential discharge of Deg Nullah.,,Poor,Civil,32.192957,74.664143,Post Flood 2023
4710,Spur at RD 3+400 of Deg Nullah U/S Choor Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,The apron along the nose portion of spur at RD 3+400 of Deg Nullah U/S Choor Bridge launched partially in length = 20ft (Total width of apron = 20ft Existing width = 17ft),Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Fair,Civil,32.33516,74.82521,Post Flood 2023
4711,Spur at RD 11+300 of Deg Nullah D/S Hanjli Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,The 6ft (width) and 13ft (length) apron towards u/s side of nose portion of spur at RD 11+300/L along Deg Nullah D/S Hanjili Bridge launched.,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Fair,Civil,32.34332,74.85227,Post Flood 2023
4712,Spur at RD 8+400 of Deg Nullah U/S Kingra Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,The nose portion of the spur is intact; however 5ft (width) and 54ft (length) of apron towards U/S side of spur launched by the torrential flood discharge,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Fair,Civil,32.388549,74.903614,Post Flood 2023
4713,Spur at RD 0+800 of Deg Nullah U/S Kingra Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,At RD 0+800 flood hit the spur critically thereby damaging its 75 ft length of spur including the nose. ,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Poor,Civil,32.39565,74.909107,Post Flood 2023
4714,Spur at RD 9+400 of Deg Nullah U/S Kingra Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,18 ft (width) and 21 ft (length) apron along nose launched.,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Poor,Civil,32.390589,74.904648,Post Flood 2023
4715,Spur at RD 8+950 of Deg Nullah U/S Kingra Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,At RD 8+950 about 3 ft (width) and 28ft (length) of apron launched. ,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Fair,Civil,32.389767,74.904449,Post Flood 2023
4716,Spur at RD 7+000 of Deg Nullah U/S Kingra Bridge,Pasrur Link Division,Link Circle,Lahore,2023,Post Flood,At RD 7+000 2-3 ft of apron launched. ,Restoration of damaged spur should be conducted according to the design parameters before the next flood season.,,Fair,Civil,32.38557,74.90163,Post Flood 2023
4717,Left Flood protection bund along Deg Nullah from Defense Embankment to Zafarwal Kingra road RD. 0 – 11+250.,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o Nose portion and apron of spurs at RD 9+400 10+000 and 10+600 were damaged during flood season 2022 however its restoration work substantially completed.
o Nose & straight portion of Spur at RD  7+000 and 11+000 were damaged during flood season 2021 its restoration work have been completed.
o Local people created unauthorized ramps by cutting the top width and side slopes.
o Missing RD marks and unpainted data boards were observed.",Repair works like rain cuts gharas un-painted data boards missing RD marks & mile gauges deficient side slopes removal of un-authorized ramps and weeds growth should be completed on all above mentioned structures.,,Fair,Civil,32.38557,74.90163,Pre Flood 2023
4718,Right Flood bund along Deg Nullah from Defence Bund to Zafarwal Kingra road RD. 0 – 14500.,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o Nose portion of spur at RD 11+300 u/s Hingli bridge partially damaged (Range : 14’ – 25’) along the slope of the nose. However 20’ aprons are launched completely. 
o Weeds growth rain cuts and gharas were observed at many reaches of the bund.
o Missing RD marks and un-painted data boards were recorded.
o Top surface was uneven.",Nose portion and apron of spur at RD 11+300 u/s of Hingli bridge was found damaged it should be restored before flood season 2023.,,Fair,Civil,32.405514,74.902709,Pre Flood 2023
4719,Left Flood Bund along Deg Nullah (from Kingra to Chahoor Bridge) RD.0-27750,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o Top surface was uneven.
o Side slopes were deficient.
o RD marks and data board needed re-painting.
o Jungle growth was observed.",Repair works like rain cuts gharas un-painted data boards missing RD marks & mile gauges deficient side slopes removal of un-authorized ramps and weeds growth should be completed on all above mentioned structures.,,Satisfactory,Civil,32.33516,74.82521,Pre Flood 2023
4720,"Right Flood Protection Bund along Deg Nullah
(from Kingra Road to Choor Bridge) RD.0-29600",Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o U/S Chahoor bridge between RD 4 +000 and 6+000 erosive action started during flood 2017 later on expert committee proposed 03 nos. spurs to protect the main bund. After constructing these spurs flood water kept on eroding the main bund between 1st and 2nd newly constructed spurs. Because of this erosion river side slope and top width of the bund at this point has been fully disturbed moreover Nose portion and apron of spur no. 1 at RD 4+800 has been damaged (Range : 15’ – 25’) along the slope of the nose. However 20’ aprons are launched completely. 
o Construction work of two more spurs at RD 3+400 and 4+200 proposed by expert committee to protect the right flood protection Bund is in progress.  
o Heavy jungle growth was observed at both side slopes.
o RD marks required re-painting.
Big Gharas was found on top surface.",Nose portion and apron of spur no. 1 on Right Flood Protection Bund along Deg Nullah(from Kingra Road to Choor Bridge at RD 4+800 was found damaged it should be restored.,,Fair,Civil,32.33516,74.82521,Pre Flood 2023
4721,Right Marginal Bund along Deg Nullah RD.0-18100,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o A scheme is proposed for protection of RMB along Nullah Deg at RD 11+000 to 13+000 U/S of Supper Passage of M.R Link Canal which includes 2 No’s studs & 2 No’s cuneate. The work has been completed. 
o Gharas was found at different locations of bund.
o Jungle growth was observed at side slopes.
o RD marks were missing.",Nose portion and apron of spur at RD 11+300 u/s of Hingli bridge was found damaged it should be restored before flood season 2023.,,Fair,Civil,32.192957,74.664143,Pre Flood 2023
4722,City Flood Protection Bund along Aik Nullah R.D.0-7340,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o Tough tiles have been laid on the top surface of the embankment; moreover encroachment was also observed.
o Organic waste material was dumped at the river side slope. 
o Slopes were also not maintained which need to be monitored. 
o Masonry wall was constructed at the river side of the embankment.
o Bund was being used as a road by the adjoining abadies",Repair works like rain cuts gharas un-painted data boards missing RD marks & mile gauges deficient side slopes removal of un-authorized ramps and weeds growth should be completed on all above mentioned structures.,,Satisfactory,Civil,32.487113,74.546481,Pre Flood 2023
4723,Haji pura Flood protection bund along Aik Nullah R.D.3900-12500,Pasrur Link Division,Link Circle,Lahore,2023,Pre Flood,"o The bund was constructed along Aik Nallah on its right for the safety of Mahallah Haji Pura.
o There was construction of colonies around the bund and bund was being used as a road.
o RD marks were missing.
o Organic waste material was dumped at the river side slope near RD 3-4.",Repair works like rain cuts gharas un-painted data boards missing RD marks & mile gauges deficient side slopes removal of un-authorized ramps and weeds growth should be completed on all above mentioned structures.,,Satisfactory,Civil,32.474718,74.529741,Pre Flood 2023
